Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,145.110001,146.149994,144.729996,146.059998,124.105568,192059000
2013-01-03,145.990005,146.369995,145.339996,145.729996,123.825172,144761800
2013-01-04,145.970001,146.610001,145.669998,146.369995,124.368942,116817700
2013-01-07,145.850006,146.110001,145.429993,145.970001,124.029137,110002500
2013-01-08,145.710007,145.910004,144.979996,145.550003,123.672272,121265100
2013-01-09,145.869995,146.320007,145.639999,145.919998,123.986610,90745600
2013-01-10,146.729996,147.089996,145.970001,147.080002,124.972267,130735400
2013-01-11,147.039993,147.149994,146.610001,147.070007,124.963806,113917300
2013-01-14,146.889999,147.070007,146.429993,146.970001,124.878807,89567200
2013-01-15,146.289993,147.210007,146.199997,147.070007,124.963806,93172600
2013-01-16,146.770004,147.279999,146.610001,147.050003,124.946785,104849500
2013-01-17,147.699997,148.419998,147.149994,148.000000,125.753952,133833500
2013-01-18,147.970001,148.490005,147.429993,148.330002,126.034378,169906000
2013-01-22,148.330002,149.130005,147.979996,149.130005,126.714111,111797300
2013-01-23,149.130005,149.500000,148.860001,149.369995,126.918022,104596100
2013-01-24,149.149994,150.139999,149.009995,149.410004,126.952026,146426400
2013-01-25,149.880005,150.250000,149.369995,150.250000,127.665840,147211600
2013-01-28,150.289993,150.330002,149.509995,150.070007,127.512794,113357700
2013-01-29,149.770004,150.850006,149.669998,150.660004,128.014114,105694400
2013-01-30,150.639999,150.940002,149.929993,150.070007,127.512794,137447700
2013-01-31,149.889999,150.380005,149.600006,149.699997,127.198479,108975800
2013-02-01,150.649994,151.419998,150.389999,151.240005,128.507004,131173000
2013-02-04,150.320007,151.270004,149.429993,149.539993,127.062469,159073600
2013-02-05,150.350006,151.479996,150.289993,151.050003,128.345566,113912400
2013-02-06,150.520004,151.259995,150.410004,151.160004,128.439011,138762800
2013-02-07,151.210007,151.350006,149.860001,150.960007,128.269058,162490000
2013-02-08,151.220001,151.889999,151.220001,151.800003,128.982803,103133700
2013-02-11,151.740005,151.899994,151.389999,151.770004,128.957306,73775000
2013-02-12,151.779999,152.300003,151.610001,152.020004,129.169739,65392700
2013-02-13,152.330002,152.610001,151.720001,152.149994,129.280197,82322600
2013-02-14,151.690002,152.470001,151.520004,152.289993,129.399170,80834300
2013-02-15,152.429993,152.589996,151.550003,152.110001,129.246185,215226500
2013-02-19,152.369995,153.279999,152.160004,153.250000,130.214859,95105400
2013-02-20,153.139999,153.190002,151.259995,151.339996,128.591904,160574800
2013-02-21,150.960007,151.419998,149.940002,150.419998,127.810219,183257000
2013-02-22,151.149994,151.889999,150.490005,151.889999,129.059250,106356600
2013-02-25,152.630005,152.860001,149.000000,149.000000,126.603683,245824800
2013-02-26,149.720001,150.199997,148.729996,150.020004,127.470322,186596200
2013-02-27,149.889999,152.330002,149.759995,151.910004,129.076263,150781900
2013-02-28,151.899994,152.869995,151.410004,151.610001,128.821304,126866000
2013-03-01,151.089996,152.339996,150.410004,152.110001,129.246185,170634800
2013-03-04,151.759995,152.919998,151.520004,152.919998,129.934464,99010200
2013-03-05,153.660004,154.699997,153.639999,154.289993,131.098541,121431900
2013-03-06,154.839996,154.919998,154.160004,154.500000,131.276978,94469900
2013-03-07,154.699997,154.979996,154.520004,154.779999,131.514893,86101400
2013-03-08,155.460007,155.649994,154.660004,155.440002,132.075684,123477800
2013-03-11,155.320007,156.039993,155.130005,156.029999,132.576965,83746800
2013-03-12,155.919998,156.100006,155.210007,155.679993,132.279587,105755800
2013-03-13,155.759995,156.119995,155.229996,155.899994,132.466522,92550900
2013-03-14,156.309998,156.800003,155.910004,156.729996,133.171738,126329900
2013-03-15,155.850006,156.039993,155.309998,155.830002,132.995926,138601100
2013-03-18,154.339996,155.639999,154.199997,154.970001,132.261948,126704300
2013-03-19,155.300003,155.509995,153.589996,154.610001,131.954651,167567300
2013-03-20,155.520004,155.949997,155.259995,155.690002,132.876480,113759300
2013-03-21,154.759995,155.639999,154.100006,154.360001,131.741394,128605000
2013-03-22,154.850006,155.600006,154.729996,155.600006,132.799637,111163600
2013-03-25,156.009995,156.270004,154.350006,154.949997,132.244888,151322300
2013-03-26,155.589996,156.229996,155.419998,156.190002,133.303223,86856600
2013-03-27,155.259995,156.240005,155.000000,156.190002,133.303223,99950600
2013-03-28,156.089996,156.850006,155.750000,156.669998,133.712875,102932800
2013-04-01,156.589996,156.910004,155.669998,156.050003,133.183746,99194100
2013-04-02,156.610001,157.210007,156.369995,156.820007,133.840897,101504300
2013-04-03,156.910004,157.029999,154.820007,155.229996,132.483841,154167400
2013-04-04,155.429993,156.169998,155.089996,155.860001,133.021561,131885000
2013-04-05,153.949997,155.350006,153.770004,155.160004,132.424118,159666000
2013-04-08,155.270004,156.220001,154.750000,156.210007,133.320328,86571200
2013-04-09,156.500000,157.320007,155.979996,156.750000,133.781128,101922200
2013-04-10,157.169998,158.869995,157.130005,158.669998,135.419815,135711100
2013-04-11,158.699997,159.710007,158.539993,159.190002,135.863571,110142500
2013-04-12,158.679993,159.039993,157.919998,158.800003,135.530701,116359900
2013-04-15,158.000000,158.130005,155.100006,155.119995,132.389969,217259000
2013-04-16,156.289993,157.490005,155.910004,157.410004,134.344391,147507800
2013-04-17,156.289993,156.320007,154.279999,155.110001,132.381531,226834800
2013-04-18,155.369995,155.410004,153.550003,154.139999,131.553558,167583200
2013-04-19,154.500000,155.550003,154.119995,155.479996,132.697205,149687600
2013-04-22,155.779999,156.539993,154.750000,156.169998,133.286148,106553500
2013-04-23,156.949997,157.929993,156.169998,157.779999,134.660172,166141300
2013-04-24,157.830002,158.300003,157.539993,157.880005,134.745590,96781200
2013-04-25,158.339996,159.270004,158.100006,158.520004,135.291779,131060600
2013-04-26,158.330002,158.600006,157.729996,158.240005,135.052795,95918800
2013-04-29,158.669998,159.649994,158.419998,159.300003,135.957474,88572800
2013-04-30,159.270004,159.720001,158.610001,159.679993,136.281784,116010700
2013-05-01,159.330002,159.410004,158.100006,158.279999,135.086945,138874200
2013-05-02,158.679993,159.889999,158.529999,159.750000,136.341568,96407600
2013-05-03,161.139999,161.880005,159.779999,161.369995,137.724152,144202300
2013-05-06,161.490005,162.009995,161.419998,161.779999,138.074081,66882100
2013-05-07,162.130005,162.649994,161.669998,162.600006,138.773911,90359200
2013-05-08,162.419998,163.389999,162.330002,163.339996,139.405502,97419200
2013-05-09,163.270004,163.699997,162.470001,162.880005,139.012909,106738600
2013-05-10,162.990005,163.550003,162.509995,163.410004,139.465225,103203000
2013-05-13,163.199997,163.809998,162.820007,163.539993,139.576126,81843200
2013-05-14,163.669998,165.350006,163.669998,165.229996,141.018555,119000900
2013-05-15,164.960007,166.449997,164.910004,166.119995,141.778107,120718500
2013-05-16,165.779999,166.360001,165.089996,165.339996,141.112427,109913600
2013-05-17,165.949997,167.039993,165.729996,166.940002,142.477997,129801000
2013-05-20,166.779999,167.580002,166.610001,166.929993,142.469421,85071200
2013-05-21,167.080002,167.800003,166.500000,167.169998,142.674271,95804200
2013-05-22,167.339996,169.070007,165.169998,165.929993,141.615982,244031800
2013-05-23,164.160004,165.910004,163.940002,165.449997,141.206299,211064400
2013-05-24,164.470001,165.380005,163.979996,165.309998,141.086853,151573900
2013-05-28,167.039993,167.779999,165.809998,166.300003,141.931763,143679800
2013-05-29,165.419998,165.800003,164.339996,165.220001,141.010040,160363400
2013-05-30,165.350006,166.589996,165.220001,165.830002,141.530655,107793800
2013-05-31,165.369995,166.309998,163.130005,163.449997,139.499359,176850100
2013-06-03,163.830002,164.460007,162.660004,164.350006,140.267502,168390700
2013-06-04,164.440002,165.100006,162.729996,163.559998,139.593246,157631500
2013-06-05,163.089996,163.419998,161.130005,161.270004,137.638763,211737800
2013-06-06,161.199997,162.740005,160.250000,162.729996,138.884903,200225500
2013-06-07,163.850006,164.949997,163.139999,164.800003,140.651550,188337800
2013-06-10,165.309998,165.399994,164.369995,164.800003,140.651550,105667100
2013-06-11,163.300003,164.539993,162.740005,163.100006,139.200638,159505400
2013-06-12,164.220001,164.389999,161.600006,161.750000,138.048462,177361500
2013-06-13,161.660004,164.500000,161.300003,164.210007,140.147964,163587800
2013-06-14,164.029999,164.669998,162.910004,163.179993,139.268906,141197500
2013-06-17,164.289993,165.220001,163.220001,164.440002,140.344299,136295600
2013-06-18,164.529999,165.990005,164.520004,165.740005,141.453796,114695600
2013-06-19,165.600006,165.889999,163.380005,163.449997,139.499359,206149500
2013-06-20,161.860001,163.470001,158.979996,159.399994,136.042801,321255900
2013-06-21,159.639999,159.759995,157.470001,159.070007,136.479553,271956800
2013-06-24,157.410004,158.429993,155.729996,157.059998,134.755035,222329000
2013-06-25,158.479996,160.100006,157.419998,158.570007,136.050568,162262200
2013-06-26,159.869995,160.500000,159.250000,160.139999,137.397598,134848000
2013-06-27,161.100006,161.820007,160.949997,161.080002,138.204071,129483700
2013-06-28,160.630005,161.399994,159.860001,160.419998,137.637833,160402900
2013-07-01,161.259995,162.479996,161.080002,161.360001,138.444366,131954800
2013-07-02,161.119995,162.300003,160.500000,161.210007,138.315643,154863700
2013-07-03,160.479996,161.770004,160.220001,161.279999,138.375656,75216400
2013-07-05,162.470001,163.080002,161.300003,163.020004,139.868622,122416900
2013-07-08,163.860001,164.389999,163.080002,163.949997,140.666504,108092500
2013-07-09,164.979996,165.330002,164.270004,165.130005,141.678894,119298000
2013-07-10,164.970001,165.750000,164.630005,165.190002,141.730408,121410100
2013-07-11,167.110001,167.610001,165.179993,167.440002,143.660889,135592200
2013-07-12,167.389999,167.929993,167.130005,167.509995,143.720917,104212700
2013-07-15,167.970001,168.389999,167.679993,168.149994,144.270050,69450600
2013-07-16,168.259995,168.360001,167.070007,167.520004,143.729492,88702100
2013-07-17,168.160004,168.479996,167.729996,167.949997,144.098450,92873900
2013-07-18,168.309998,169.270004,168.199997,168.869995,144.887772,103620100
2013-07-19,168.520004,169.229996,168.309998,169.169998,145.145172,103831700
2013-07-22,169.410004,169.740005,169.009995,169.500000,145.428329,79428600
2013-07-23,169.800003,169.830002,169.050003,169.139999,145.119476,80829700
2013-07-24,169.789993,169.860001,168.179993,168.520004,144.587479,112914000
2013-07-25,168.220001,169.080002,167.940002,168.929993,144.939270,111088600
2013-07-26,168.220001,169.160004,167.520004,169.110001,145.093658,107814600
2013-07-29,168.679993,169.059998,168.110001,168.589996,144.647537,79695000
2013-07-30,169.100006,169.279999,168.190002,168.589996,144.647537,85209600
2013-07-31,168.940002,169.850006,168.490005,168.710007,144.750580,142388700
2013-08-01,169.990005,170.809998,169.899994,170.660004,146.423584,110438400
2013-08-02,170.279999,170.970001,170.050003,170.949997,146.672379,91116700
2013-08-05,170.570007,170.960007,170.350006,170.699997,146.457932,54072700
2013-08-06,170.369995,170.740005,169.350006,169.729996,145.625626,87495000
2013-08-07,169.190002,169.429993,168.550003,169.179993,145.153809,84854700
2013-08-08,169.979996,170.179993,168.929993,169.800003,145.685699,102181300
2013-08-09,169.580002,170.100006,168.720001,169.309998,145.265320,91757700
2013-08-12,168.460007,169.309998,168.380005,169.110001,145.093658,68593300
2013-08-13,169.410004,169.899994,168.410004,169.610001,145.522675,80806000
2013-08-14,169.529999,169.800003,168.699997,168.740005,144.776215,79829200
2013-08-15,167.410004,167.429993,166.089996,166.380005,142.751419,152931800
2013-08-16,166.059998,166.630005,165.500000,165.830002,142.279556,130868200
2013-08-19,165.639999,166.210007,164.759995,164.770004,141.370071,96437600
2013-08-20,165.039993,166.199997,164.860001,165.580002,142.065018,89294400
2013-08-21,165.119995,166.029999,164.190002,164.559998,141.189865,159530500
2013-08-22,164.899994,166.300003,164.889999,166.059998,142.476883,101471400
2013-08-23,166.550003,166.830002,165.770004,166.619995,142.957336,90888900
2013-08-26,166.789993,167.300003,165.889999,166.000000,142.425354,89702100
2013-08-27,164.360001,166.000000,163.210007,163.330002,140.134567,158619400
2013-08-28,163.259995,164.490005,163.050003,163.910004,140.632233,108113000
